HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,Zip Code,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,target
"$  60,000 - $69,999",OWNER,English,N,22,60-64,English,FOUNTAIN VALLEY,ORANGE,92708,$0 - $0.01,SunOnly,MW,0,Partner,0
"$  50,000 - $59,999",RENTER,Hispanic,N,3,25-29,Spanish,MISSION VIEJO,ORANGE,92691,$0.01 - $0.50,SunOnly,ME,0,Partner,0
"$300,000 - $399,999",OWNER,unknown,N,14,50-54,English,LAGUNA NIGUEL,ORANGE,92677,$10.00 - $10.99,7Day,MW,0,DirectMl,1
"$500,000 Plus",OWNER,German,Y,9,45-49,English,IRVINE,ORANGE,92602,$1.00 - $1.99,7Day,YM,0,System,0
"$  40,000 - $49,999",RENTER,Hispanic,N,1,25-29,English,SANTA ANA,ORANGE,92707,$0 - $0.01,SunOnly,FE,0,Partner,0
"$175,000 - $199,999",OWNER,English,N,17,55-59,English,SAN JUAN CAPISTRANO,ORANGE,92675,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,2,75 years or more,Spanish,HUNTINGTON BEACH,ORANGE,92647,$0.51 - $0.99,SunOnly,YM,0,CustCall,0
"$175,000 - $199,999",OWNER,German,N,24,60-64,English,BREA,ORANGE,92821,$2.00 - $2.99,7Day,MM,0,CustCall,1
"$300,000 - $399,999",OWNER,unknown,Y,17,45-49,Vietnamese,COSTA MESA,ORANGE,92627,$2.00 - $2.99,Thu-Sun,MW,0,System,0
"$  50,000 - $59,999",OWNER,Chinese,N,2,30-34,English,RANCHO SANTA MARGARITA,ORANGE,92688,$4.00 - $4.99,7Day,YW,0,TeleIn,0
"Under $20,000",RENTER,Hispanic,N,1,25-29,English,SANTA ANA,ORANGE,92704,$0.01 - $0.50,SunOnly,YM,0,Crew,1
"$  90,000 - $99,999",OWNER,English,N,15,75 years or more,English,NEWPORT BEACH,ORANGE,92660,$0.01 - $0.50,SunOnly,MW,0,TeleIn,1
"$  80,000 - $89,999",OWNER,Polish,N,1,25-29,English,LONG BEACH,LOS ANGELES,90815,$1.00 - $1.99,7DayOL,MM,0,CircAdm,0
"$150,000 - $174,999",OWNER,English,N,29,65-69,English,SANTA ANA,ORANGE,92704,$3.00 - $3.99,7Day,MM,5,CustCall,1
"Under $20,000",OWNER,Scottish (Scotch),N,37,60-64,English,GARDEN GROVE,ORANGE,92843,$3.00 - $3.99,THU-SUN,MW,0,Crew1,1
"$  20,000 - $29,999",OWNER,English,Y,37,70-74,English,ORANGE,ORANGE,92866,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,English,Y,6,50-54,English,HUNTINGTON BEACH,ORANGE,92646,$0 - $0.01,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,English,Y,39,65-69,English,LONG BEACH,LOS ANGELES,90803,$4.00 - $4.99,7Day,MW,0,Crew,0
"$  80,000 - $89,999",OWNER,Irish,N,1,25-29,English,TUSTIN,ORANGE,92782,$3.00 - $3.99,SoooTFS,YW,0,CustCall,0
"$  50,000 - $59,999",RENTER,Italian,N,1,60-64,English,LAGUNA WOODS,ORANGE,92637,$3.00 - $3.99,Thu-Sun,ME,0,TeleIn,0
"$  50,000 - $59,999",OWNER,Hispanic,Y,28,65-69,Spanish,ANAHEIM,ORANGE,92806,$4.00 - $4.99,7Day,MW,0,Crew,0
"$150,000 - $174,999",OWNER,Hispanic,N,33,70-74,English,ORANGE,ORANGE,92868,$10.00 - $10.99,7Day,MM,3,CustCall,1
"$  50,000 - $59,999",OWNER,Scottish (Scotch),N,7,50-54,English,SANTA ANA,ORANGE,92706,$1.00 - $1.99,7Day,FE,0,Crew,0
"$  40,000 - $49,999",RENTER,Italian,N,3,25-29,English,IRVINE,ORANGE,92618,$3.00 - $3.99,Thu-Sun,YW,0,TeleOut,0
"$  60,000 - $69,999",RENTER,Hispanic,N,3,45-49,Spanish,CYPRESS,ORANGE,90630,$1.00 - $1.99,SunOnly,ME,0,Internet,0
"$125,000 - $149,999",RENTER,French,Y,2,40-44,English,DANA POINT,ORANGE,92629,$2.00 - $2.99,7Day,FM,0,Kiosk,0
"$  60,000 - $69,999",OWNER,Hispanic,Y,23,50-54,Spanish,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$100,000 - $124,999",RENTER,Chinese,N,1,25-29,English,LA HABRA,ORANGE,90631,$0.01 - $0.50,SunOnly,ME,0,Crew,1
"$100,000 - $124,999",OWNER,Korean,N,8,50-54,Korean,GARDEN GROVE,ORANGE,92841,$1.00 - $1.99,7Day,MW,0,CustCall,0
"Under $20,000",RENTER,Hispanic,Y,8,24 years or less,Spanish,FULLERTON,ORANGE,92832,$0 - $0.01,SunOnly,FM,0,Partner,0
"$500,000 Plus",OWNER,Danish,Y,15,45-49,English,NORCO,RIVERSIDE,92860,$0 - $0.01,SunOnly,FW,0,Partner,0
"Under $20,000",RENTER,Vietnamese,N,5,65-69,English,WESTMINSTER,ORANGE,92683,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$300,000 - $399,999",OWNER,Scottish (Scotch),N,23,55-59,English,FOUNTAIN VALLEY,ORANGE,92706,$10.00 - $10.99,SunOnly,MW,1,Gift,1
"Under $20,000",RENTER,unknown,N,3,40-44,Spanish,ANAHEIM,ORANGE,92801,$3.00 - $3.99,Thu-Sun,YM,0,Crew,0
"$  90,000 - $99,999",OWNER,Vietnamese,N,8,40-44,Vietnamese,MISSION VIEJO,ORANGE,92691,$1.00 - $1.99,7Day,MW,0,CircAdm,0
"$150,000 - $174,999",OWNER,French,N,18,60-64,English,ANAHEIM,ORANGE,92806,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,Hispanic,N,12,55-59,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",OWNER,Hispanic,N,10,50-54,Spanish,SANTA ANA,ORANGE,92704,$0 - $0.01,SunOnly,FM,0,Partner,1
"$300,000 - $399,999",OWNER,English,N,16,55-59,English,ORANGE,ORANGE,92867,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$100,000 - $124,999",OWNER,German,Y,32,70-74,English,ORANGE,ORANGE,92866,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  60,000 - $69,999",RENTER,Portuguese,Y,6,60-64,Portuguese,SANTA ANA,ORANGE,92703,$4.00 - $4.99,7Day,FE,0,TeleOut,0
"$  90,000 - $99,999",RENTER,German,N,6,70-74,English,ORANGE,ORANGE,92867,$4.00 - $4.99,7Day,FE,0,CustCall,0
"$500,000 Plus",OWNER,Hispanic,Y,9,60-64,English,LAGUNA HILLS,ORANGE,92653,$2.00 - $2.99,Fri-Sun,FW,0,CustCall,0
"$200,000 - $249,999",OWNER,Hispanic,Y,7,30-34,English,PLACENTIA,ORANGE,92870,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  20,000 - $29,999",OWNER,English,Y,20,45-49,English,LAGUNA HILLS,ORANGE,92653,$0.01 - $0.50,SunOnly,YW,0,TeleOut,0
"Under $20,000",RENTER,Hispanic,N,1,25-29,English,LONG BEACH,LOS ANGELES,90807,$0.01 - $0.50,7Day,YM,0,Crew,1
"$  40,000 - $49,999",OWNER,Irish,N,38,75 years or more,English,SANTA ANA,ORANGE,92707,$10.00 - $10.99,7Day,MM,0,CustCall,1
"Under $20,000",RENTER,unknown,N,4,25-29,English,IRVINE,ORANGE,92617,$0 - $0.01,SunOnly,YE,0,Partner,0
"$  20,000 - $29,999",RENTER,English,N,3,25-29,English,IRVINE,ORANGE,92620,$1.00 - $1.99,SunOnly,FM,0,System,0
"$  70,000 - $79,999",OWNER,Vietnamese,N,2,50-54,English,ANAHEIM,ORANGE,92804,$2.00 - $2.99,Fri-Sun,MW,0,CustCall,0
"$  50,000 - $59,999",OWNER,Hispanic,N,12,55-59,Spanish,ANAHEIM,ORANGE,92804,$1.00 - $1.99,SunOnly,FM,0,Partner,0
"$  80,000 - $89,999",OWNER,Hispanic,N,23,55-59,Spanish,GARDEN GROVE,ORANGE,92841,$0 - $0.01,SunOnly,MM,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,36,65-69,English,LAKE FOREST,ORANGE,92630,$10.00 - $10.99,7Day,MW,17,CustCall,1
"$100,000 - $124,999",OWNER,Hispanic,Y,27,55-59,Spanish,LONG BEACH,LOS ANGELES,90815,$3.00 - $3.99,7DayOL,MM,0,CircAdm,0
"$  50,000 - $59,999",OWNER,Hispanic,N,24,45-49,English,FULLERTON,ORANGE,92833,$2.00 - $2.99,SoooTFS,FM,0,DirectMl,0
"$500,000 Plus",OWNER,Hispanic,Y,14,50-54,English,IRVINE,ORANGE,92602,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",OWNER,Hispanic,N,20,60-64,English,ANAHEIM,ORANGE,92805,$1.00 - $1.99,SunOnly,MM,0,Partner,0
"$  30,000 - $39,999",OWNER,Hispanic,Y,25,40-44,English,SANTA ANA,ORANGE,92703,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$125,000 - $149,999",OWNER,English,Y,1,45-49,English,LAGUNA NIGUEL,ORANGE,92677,$0.01 - $0.50,SunOnly,MW,0,Internet,1
"$100,000 - $124,999",OWNER,Scottish (Scotch),N,11,45-49,English,LONG BEACH,LOS ANGELES,90807,$0 - $0.01,SunOnly,MM,0,Partner,1
"$200,000 - $249,999",OWNER,English,N,20,65-69,English,ORANGE,ORANGE,92866,$1.00 - $1.99,SunOnly,YW,0,RetenIn,1
"$175,000 - $199,999",OWNER,English,N,17,70-74,English,ALISO VIEJO,ORANGE,92656,$10.00 - $10.99,7Day,MW,5,CustCall,1
"$125,000 - $149,999",OWNER,English,N,37,75 years or more,English,LA PALMA,ORANGE,90623,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$400,000 - $499,999",OWNER,Italian,N,23,75 years or more,English,SAN CLEMENTE,ORANGE,92673,$7.00 - $7.99,7Day,FW,0,DirectMl,1
"Under $20,000",OWNER,Hispanic,N,8,75 years or more,Spanish,SANTA ANA,ORANGE,92703,$4.00 - $4.99,7Day,FM,0,Partner,0
"$100,000 - $124,999",OWNER,English,Y,7,50-54,English,HUNTINGTON BEACH,ORANGE,92647,$0 - $0.01,SunOnly,MW,0,Partner,1
"$  50,000 - $59,999",OWNER,Vietnamese,N,18,55-59,English,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,6,24 years or less,English,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,5,35-39,Spanish,SANTA ANA,ORANGE,92704,$0.01 - $0.50,7Day,FE,0,Partner,1
"$  30,000 - $39,999",OWNER,Chinese,N,12,45-49,Chinese,LAGUNA WOODS,ORANGE,92637,$2.00 - $2.99,Thu-SunT,ME,0,TeleIn,0
"$  80,000 - $89,999",OWNER,English,N,13,60-64,English,BUENA PARK,ORANGE,90620,$3.00 - $3.99,THU-SUN,MW,0,Crew1,1
"Under $20,000",RENTER,Hispanic,N,6,40-44,Spanish,SANTA ANA,ORANGE,92703,$2.00 - $2.99,Thu-Sun,FE,0,System,0
"$100,000 - $124,999",OWNER,unknown,N,3,30-34,English,LA PALMA,ORANGE,90623,$3.00 - $3.99,Soooooo,MW,0,CustCall,0
"$  90,000 - $99,999",OWNER,Chinese,N,20,65-69,Chinese,FULLERTON,ORANGE,92833,$6.00 - $6.99,7Day,FM,0,CustCall,0
"$150,000 - $174,999",OWNER,Hispanic,Y,21,50-54,English,CORONA,RIVERSIDE,92882,$0 - $0.01,SunOnly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,unknown,Y,16,45-49,English,HUNTINGTON BEACH,ORANGE,92646,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,17,75 years or more,English,YORBA LINDA,ORANGE,92886,$10.00 - $10.99,7Day,FM,0,VRU,1
"$300,000 - $399,999",OWNER,Danish,N,32,60-64,Danish,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,7Day,MW,1,CustCall,1
"$  40,000 - $49,999",OWNER,English,N,26,75 years or more,English,LAGUNA WOODS,ORANGE,92637,$10.00 - $10.99,7Day,MM,0,CustCall,1
"$  40,000 - $49,999",OWNER,Hispanic,N,2,45-49,English,LA HABRA,ORANGE,90631,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,1,30-34,English,TUSTIN,ORANGE,92780,$2.00 - $2.99,7Day,YM,0,Kiosk,0
"$100,000 - $124,999",OWNER,English,N,17,75 years or more,English,ANAHEIM,ORANGE,92804,$4.00 - $4.99,7Day,MW,0,CustCall,1
"$  50,000 - $59,999",RENTER,English,N,1,24 years or less,English,LONG BEACH,LOS ANGELES,90815,$4.00 - $4.99,7DayOL,YM,0,CircAdm,0
"$  20,000 - $29,999",RENTER,Hispanic,N,6,55-59,Spanish,GARDEN GROVE,ORANGE,92840,$2.00 - $2.99,Fri-Sun,YM,0,Crew,0
"$  20,000 - $29,999",RENTER,English,N,4,65-69,English,ANAHEIM,ORANGE,92806,$0.01 - $0.50,SunOnly,MM,0,Partner,1
"$100,000 - $124,999",OWNER,English,N,28,45-49,English,TUSTIN,ORANGE,92781,$10.00 - $10.99,7Day,MW,4,CustCall,1
"$  70,000 - $79,999",RENTER,Vietnamese,N,11,50-54,Vietnamese,STANTON,ORANGE,90680,$3.00 - $3.99,THU-SUN,YM,0,Kiosk1,0
"$125,000 - $149,999",RENTER,Welsh,Y,1,40-44,English,IRVINE,ORANGE,92612,$1.00 - $1.99,SunOnly,YM,0,Crew,0
"$175,000 - $199,999",OWNER,English,N,38,75 years or more,English,COSTA MESA,ORANGE,92622,$10.00 - $10.99,7Day,MW,1,CustCall,1
"$  90,000 - $99,999",OWNER,French,N,5,24 years or less,English,MISSION VIEJO,ORANGE,92691,$0 - $0.01,SunOnly,MW,0,CircAdm,0
"Under $20,000",RENTER,Hispanic,N,5,30-34,English,ANAHEIM,ORANGE,92802,$0 - $0.01,SunOnly,FE,0,Partner,1
"$  20,000 - $29,999",OWNER,Hispanic,N,7,75 years or more,Spanish,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,MM,0,System,0
"$125,000 - $149,999",OWNER,Arab,N,3,50-54,English,NEWPORT BEACH,ORANGE,92660,$6.00 - $6.99,7Day,MW,0,RetenIn,1
"$300,000 - $399,999",OWNER,English,N,5,60-64,English,LAKE FOREST,ORANGE,92630,$0.01 - $0.50,7Day,MM,0,CustCall,1
"$  50,000 - $59,999",RENTER,Jewish,N,1,25-29,English,NEWPORT BEACH,ORANGE,92660,$2.00 - $2.99,Thu-Sun,YM,0,Crew,0
"$100,000 - $124,999",OWNER,Arab,N,1,45-49,English,LAKE FOREST,ORANGE,92629,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,3,50-54,English,NEWPORT BEACH,ORANGE,92660,$3.00 - $3.99,7Day,YW,0,TeleIn,1
"$200,000 - $249,999",OWNER,English,N,15,45-49,English,SAN CLEMENTE,ORANGE,92673,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,English,N,4,50-54,English,IRVINE,ORANGE,92603,$0.01 - $0.50,SunOnly,MW,0,Internet,1
"Under $20,000",OWNER,Chinese,N,1,30-34,Chinese,SANTA ANA,ORANGE,92704,$0 - $0.01,SunOnly,FM,0,Partner,0
"$300,000 - $399,999",OWNER,German,N,25,65-69,English,HUNTINGTON BEACH,ORANGE,92646,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$100,000 - $124,999",OWNER,German,N,23,75 years or more,English,IRVINE,ORANGE,92612,$0.51 - $0.99,SunOnly,MM,0,DirectMl,0
"$  70,000 - $79,999",OWNER,Chinese,N,21,60-64,English,BUENA PARK,ORANGE,90620,$1.00 - $1.99,7DayT,MM,0,TeleIn,0
"$300,000 - $399,999",OWNER,German,Y,1,50-54,English,NEWPORT COAST,ORANGE,92657,$6.00 - $6.99,7Day,YW,4,Internet,1
"$200,000 - $249,999",RENTER,unknown,Y,4,50-54,English,ORANGE,ORANGE,92869,$0 - $0.01,SunOnly,FE,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,1,24 years or less,English,ANAHEIM,ORANGE,92805,$0.01 - $0.50,Thu-Sun,YM,0,TeleOut,0
"$100,000 - $124,999",OWNER,Italian,Y,24,45-49,English,CORONA,RIVERSIDE,92883,$0.01 - $0.50,SunOnly,FW,0,Partner,0
"$150,000 - $174,999",OWNER,Irish,Y,18,60-64,English,CORONA,RIVERSIDE,92883,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"$125,000 - $149,999",OWNER,English,Y,5,40-44,English,COSTA MESA,ORANGE,92627,$1.00 - $1.99,Thu-Sun,MW,0,Kiosk,0
"$  80,000 - $89,999",OWNER,Danish,N,16,60-64,English,ORANGE,ORANGE,92869,$0 - $0.01,SunOnly,YW,0,Partner,0
"$  70,000 - $79,999",OWNER,English,Y,4,35-39,English,IRVINE,ORANGE,92620,$1.00 - $1.99,SunOnly,FM,0,Kiosk,0
"$200,000 - $249,999",OWNER,Hispanic,Y,28,65-69,Spanish,SANTA ANA,ORANGE,92707,$1.00 - $1.99,SunOnly,FM,0,TeleIn,0
"$  70,000 - $79,999",OWNER,English,N,37,75 years or more,English,WESTMINSTER,ORANGE,92683,$0.51 - $0.99,SunOnly,MM,0,TeleIn,1
"$200,000 - $249,999",OWNER,Greek,Y,14,50-54,English,LONG BEACH,LOS ANGELES,90808,$4.00 - $4.99,7DayOL,MM,0,CircAdm,0
"$100,000 - $124,999",OWNER,Scottish (Scotch),N,24,75 years or more,English,MISSION VIEJO,ORANGE,92692,$4.00 - $4.99,7Day,MM,0,CustCall,0
"$  40,000 - $49,999",RENTER,Italian,N,1,65-69,English,COSTA MESA,ORANGE,92626,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$125,000 - $149,999",OWNER,Irish,Y,30,60-64,English,FULLERTON,ORANGE,92835,$2.00 - $2.99,7Day,YW,0,Kiosk,1
"$  70,000 - $79,999",RENTER,Hispanic,Y,7,35-39,Spanish,IRVINE,ORANGE,92614,$2.00 - $2.99,Thu-Sun,FM,0,Crew,0
"$100,000 - $124,999",OWNER,English,N,1,30-34,English,ANAHEIM,ORANGE,92808,$2.00 - $2.99,7Day,YW,0,CustCall,0
"$  20,000 - $29,999",OWNER,unknown,N,37,75 years or more,English,WESTMINSTER,ORANGE,92683,$4.00 - $4.99,7Day,MM,0,CustCall,0
"$175,000 - $199,999",OWNER,English,N,26,60-64,English,SAN JUAN CAPISTRANO,ORANGE,92675,$1.00 - $1.99,7Day,MM,0,DirectMl,0
"$200,000 - $249,999",OWNER,English,N,16,55-59,English,TRABUCO CANYON,ORANGE,92679,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$300,000 - $399,999",OWNER,English,N,19,75 years or more,English,TUSTIN,ORANGE,92781,$10.00 - $10.99,7Day,FW,2,CustCall,1
"$400,000 - $499,999",OWNER,Vietnamese,Y,12,45-49,Vietnamese,YORBA LINDA,ORANGE,92887,$0.01 - $0.50,Thu-Sun,FW,0,Partner,0
"$500,000 Plus",OWNER,unknown,N,23,55-59,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,7Day,MW,2,CustCall,1
"$300,000 - $399,999",OWNER,English,N,21,60-64,English,ORANGE,ORANGE,92861,$10.00 - $10.99,7Day,MW,8,CustCall,1
"Under $20,000",RENTER,English,N,3,75 years or more,English,HUNTINGTON BEACH,ORANGE,92646,$10.00 - $10.99,7Day,ME,0,CustCall,1
"$  40,000 - $49,999",RENTER,German,N,5,65-69,English,TUSTIN,ORANGE,92780,$10.00 - $10.99,7Day,MM,1,CustCall,1
"Under $20,000",RENTER,Hispanic,N,1,24 years or less,English,ORANGE,ORANGE,92868,$0.01 - $0.50,7Day,FE,0,Crew,1
"$  30,000 - $39,999",RENTER,African (other),N,1,25-29,English,GARDEN GROVE,ORANGE,92843,$4.00 - $4.99,7Day,MM,0,Crew,0
"$300,000 - $399,999",OWNER,Polish,Y,17,55-59,English,FOUNTAIN VALLEY,ORANGE,92708,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$400,000 - $499,999",OWNER,English,N,33,70-74,English,IRVINE,ORANGE,92613,$10.00 - $10.99,7Day,MW,3,CustCall,1
"$500,000 Plus",OWNER,English,N,23,55-59,English,ANAHEIM,ORANGE,92808,$10.00 - $10.99,7Day,FW,0,CustCall,1
"$  60,000 - $69,999",RENTER,Japanese,N,4,75 years or more,English,ANAHEIM,ORANGE,92807,$4.00 - $4.99,7Day,MM,0,Event,0
"$125,000 - $149,999",OWNER,English,Y,17,40-44,English,ORANGE,ORANGE,92867,$0.01 - $0.50,7Day,FM,0,Partner,1
"Under $20,000",OWNER,English,N,18,65-69,English,DANA POINT,ORANGE,92629,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"Under $20,000",RENTER,Hispanic,N,1,30-34,English,RANCHO SANTA MARGARITA,ORANGE,92688,$3.00 - $3.99,Soooooo,YM,0,CustCall,0
"Under $20,000",RENTER,Hispanic,N,9,24 years or less,Spanish,SANTA ANA,ORANGE,92701,$1.00 - $1.99,SunOnly,YM,0,TeleIn,0
"$  20,000 - $29,999",OWNER,Vietnamese,N,17,35-39,English,GARDEN GROVE,ORANGE,92840,$3.00 - $3.99,THU-SUN,FM,0,Crew1,1
"$100,000 - $124,999",RENTER,French,N,1,25-29,English,ANAHEIM,ORANGE,92805,$0.01 - $0.50,Thu-Sun,FM,0,Partner,0
"$  40,000 - $49,999",OWNER,English,N,1,25-29,English,BUENA PARK,ORANGE,90622,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$300,000 - $399,999",OWNER,English,Y,21,55-59,English,YORBA LINDA,ORANGE,92887,$9.00 - $9.99,7Day,FW,0,RetenIn,1
"$150,000 - $174,999",OWNER,unknown,N,4,55-59,English,LAGUNA HILLS,ORANGE,92653,$0 - $0.01,7Day,MW,0,CircAdm,0
"$  20,000 - $29,999",OWNER,Hispanic,N,2,30-34,Spanish,ANAHEIM,ORANGE,92805,$0.01 - $0.50,SunOnly,FM,0,Crew1,1
"$500,000 Plus",OWNER,English,N,22,55-59,English,LAKE FOREST,ORANGE,92630,$2.00 - $2.99,7Day,MW,1,CustCall,1
"Under $20,000",OWNER,Hispanic,N,23,40-44,Spanish,LONG BEACH,LOS ANGELES,90807,$3.00 - $3.99,THU-SUN,MW,0,Kiosk1,1
"$  40,000 - $49,999",OWNER,English,N,34,75 years or more,English,WESTMINSTER,ORANGE,92683,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$200,000 - $249,999",OWNER,unknown,Y,35,60-64,English,YORBA LINDA,ORANGE,92886,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,37,75 years or more,English,ANAHEIM,ORANGE,92806,$10.00 - $10.99,7Day,FM,0,CustCall,1
"$100,000 - $124,999",OWNER,English,N,33,60-64,English,CYPRESS,ORANGE,90630,$0.01 - $0.50,SunOnly,MM,0,Email,0
"$500,000 Plus",OWNER,English,Y,10,50-54,English,SANTA ANA,ORANGE,92705,$9.00 - $9.99,7Day,FW,4,CustCall,1
"$  50,000 - $59,999",OWNER,English,N,2,65-69,English,SANTA ANA,ORANGE,92705,$3.00 - $3.99,THU-SUN,MM,0,Kiosk1,0
"$  30,000 - $39,999",OWNER,Hispanic,Y,10,75 years or more,English,LA MIRADA,LOS ANGELES,90638,$0 - $0.01,Thu-Sun,MW,0,CircAdm,0
"$150,000 - $174,999",RENTER,Scottish (Scotch),Y,2,35-39,English,ANAHEIM,ORANGE,92808,$0 - $0.01,SunOnly,FW,0,Partner,0
"Under $20,000",RENTER,Italian,Y,6,30-34,English,COSTA MESA,ORANGE,92627,$3.00 - $3.99,Thu-Sun,FE,0,Crew,0
"Under $20,000",OWNER,Hispanic,N,14,40-44,Spanish,SANTA ANA,ORANGE,92703,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$150,000 - $174,999",OWNER,English,N,4,65-69,English,LAGUNA NIGUEL,ORANGE,92677,$1.00 - $1.99,SunOnly,YW,0,Internet,0
"$  70,000 - $79,999",OWNER,Hispanic,N,20,60-64,Spanish,ANAHEIM,ORANGE,92805,$0 - $0.01,SunOnly,MW,0,Partner,0
"$500,000 Plus",OWNER,Native American (American Indian),Y,19,50-54,English,MISSION VIEJO,ORANGE,92692,$3.00 - $3.99,SunOnly,FW,0,DirectMl,1
"$  80,000 - $89,999",OWNER,Vietnamese,N,3,35-39,Vietnamese,COSTA MESA,ORANGE,92626,$0.01 - $0.50,7Day,MW,0,AdvAdm,0
"$  80,000 - $89,999",RENTER,unknown,N,17,50-54,English,HUNTINGTON BEACH,ORANGE,92647,$1.00 - $1.99,Thu-Sun,YM,0,Crew,0
"$125,000 - $149,999",OWNER,Scottish (Scotch),N,39,75 years or more,English,LA HABRA,LOS ANGELES,90631,$10.00 - $10.99,7Day,MW,0,System,1
"$300,000 - $399,999",OWNER,English,N,37,75 years or more,English,COSTA MESA,ORANGE,92627,$10.00 - $10.99,7Day,MW,0,CustCall,1
